FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SAC,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
01/01/2026,1,-99,0.74,0.7,1.07,-99,1.12,-99,1.05,0.8,0.72,-99,0.93,0.46,-99,-99,-99,1.05,0.75,-99,-99,1.8,1.06,0.8,2.35,-99,-99,-99,1.15,0.89,0.75,0.94,2.17,1.66
01/01/2026,2,-99,0.55,0.78,1.03,-99,0.97,-99,0.95,0.96,0.71,-99,0.96,0.26,-99,-99,-99,1.31,0.67,-99,-99,1.43,0.6,1.47,2.72,-99,-99,-99,0.96,1.46,1.06,1.19,2.39,1.24
01/01/2026,3,-99,0.34,0.64,1.34,-99,0.75,-99,0.99,0.78,0.82,-99,1.18,0.16,-99,-99,-99,1.63,0.81,-99,-99,1.37,0.44,1.63,2.62,-99,-99,-99,0.72,1.39,1.26,1.48,2.78,1.46
01/01/2026,4,-99,0.23,0.62,1.26,-99,0.69,-99,1.04,0.78,0.74,-99,1.98,0.14,-99,-99,-99,1.43,1.25,-99,-99,1.43,0.36,1.43,2.77,-99,-99,-99,0.7,1.49,1.34,1.2,3.69,2.14
01/01/2026,5,-99,0.16,0.66,0.99,-99,0.69,-99,0.77,0.62,0.82,-99,1.5,0.1,-99,-99,-99,1.22,1.16,-99,-99,2.52,0.27,1.29,2.33,-99,-99,-99,0.53,2.04,1.45,1.58,2.67,1.89
01/01/2026,6,-99,0.16,0.61,1.55,-99,0.81,-99,0.81,0.55,0.8,-99,1.1,0.1,-99,-99,-99,1.37,1.46,-99,-99,2.43,0.34,1.15,2.18,-99,-99,-99,0.53,2.06,1.18,1.49,2.45,1.9
01/01/2026,7,-99,0.14,0.46,1.58,1.32,1.08,-99,0.54,0.52,0.69,-99,1.32,0.07,-99,-99,-99,1.5,1.39,-99,-99,1.74,0.66,1.16,3.26,-99,-99,-99,0.44,1.98,1.32,1.79,2.43,1.89
01/01/2026,8,-99,0.11,0.56,1.38,1.27,0.82,-99,0.52,0.55,0.79,-99,1.53,0.07,-99,-99,-99,1.83,1.83,-99,-99,1.61,0.61,1.12,2.82,-99,-99,-99,0.45,1.72,1.29,1.64,2.01,1.87
01/01/2026,9,-99,-99,0.58,1.36,1.05,0.82,-99,0.35,0.37,0.86,-99,1.62,0.09,-99,-99,-99,1.82,1.38,-99,-99,1.59,0.9,1.22,3.11,-99,-99,-99,0.54,1.76,1.06,1.72,1.96,1.73
01/01/2026,10,-99,0.78,0.88,1.45,1.04,1.12,-99,0.16,0.52,0.76,-99,1.82,0.13,-99,-99,-99,1.42,1.31,-99,-99,1.67,0.75,1.39,2.15,-99,-99,-99,0.72,1.7,0.96,1.26,1.7,1.74
01/01/2026,11,-99,0.52,0.92,1.31,1.12,0.91,-99,0.24,0.64,0.73,-99,1.25,0.14,-99,-99,-99,1.13,1.05,-99,-99,1.07,0.61,1.26,1.21,-99,-99,-99,0.82,1.1,0.66,0.96,1.15,1.37
01/01/2026,12,-99,0.44,0.46,0.6,0.58,0.66,-99,0.27,0.43,0.43,-99,0.59,0.19,-99,-99,-99,0.64,0.71,-99,-99,0.54,0.49,0.77,0.56,-99,-99,-99,0.51,0.3,0.43,0.38,0.53,1.05
01/01/2026,13,-99,0.39,0.39,0.29,0.27,0.35,-99,0.3,0.22,0.27,-99,0.3,0.22,-99,-99,-99,0.54,0.29,-99,-99,0.37,0.3,0.29,0.29,-99,-99,-99,0.26,0.22,0.16,0.22,0.31,0.62
01/01/2026,14,-99,0.35,0.4,0.22,0.23,0.29,-99,0.26,0.08,0.26,-99,0.2,0.27,-99,-99,-99,0.55,0.22,-99,-99,0.35,0.17,0.28,0.32,-99,-99,-99,0.22,0.17,0.21,0.3,0.26,0.34
01/01/2026,15,-99,0.27,0.27,0.23,0.26,0.25,-99,0.26,0.14,0.26,-99,0.23,0.32,-99,-99,-99,0.35,0.22,-99,-99,0.27,0.13,0.3,0.3,-99,-99,-99,0.19,0.1,0.23,0.27,0.29,0.21
01/01/2026,16,-99,0.25,0.33,0.22,0.2,0.25,-99,0.26,0.18,0.24,-99,0.23,0.32,-99,-99,-99,0.32,0.22,-99,-99,0.23,0.11,0.29,0.28,-99,-99,-99,0.15,0.14,0.22,0.18,0.26,0.25
01/01/2026,17,-99,0.25,0.38,0.19,0.21,0.24,-99,0.26,0.21,0.28,-99,0.19,0.36,-99,-99,-99,0.32,0.19,-99,-99,0.24,0.08,0.34,0.27,-99,-99,-99,0.24,0.09,0.18,0.13,0.28,0.36
01/01/2026,18,-99,0.26,0.48,0.21,0.28,0.22,-99,0.32,0.3,0.37,-99,0.24,0.4,-99,-99,-99,0.38,0.31,-99,-99,0.37,0.1,0.39,0.35,-99,-99,-99,0.3,0.15,0.19,0.18,0.39,0.43
01/01/2026,19,-99,0.37,0.53,0.51,0.43,0.28,-99,0.54,0.5,0.39,-99,0.48,0.49,-99,-99,-99,0.58,0.39,-99,-99,0.74,0.31,0.65,0.73,-99,-99,-99,0.38,0.25,0.38,0.38,0.59,0.4
